timestamp,event_type,object_class,confidence,snapshot_path
2026-08-25_03-33-02-525102,INTRUSION,person,0.90,snapshots/INTRUSION_2026-08-25_03-33-02-525102.jpg
2026-08-25_03-33-09-300899,INTRUSION,person,0.89,snapshots/INTRUSION_2026-08-25_03-33-09-300899.jpg
2026-08-25_03-33-16-866951,INTRUSION,person,0.90,snapshots/INTRUSION_2026-08-25_03-33-16-866951.jpg
2026-08-25_03-34-18-130680,INTRUSION,person,0.90,snapshots/INTRUSION_2026-08-25_03-34-18-130680.jpg
2026-08-25_03-34-23-187608,INTRUSION,person,0.79,snapshots/INTRUSION_2026-08-25_03-34-23-187608.jpg
2026-08-29_04-35-44-614940,INTRUSION,person-climbing-fence,0.40,snapshots/INTRUSION_2026-08-29_04-35-44-614940.jpg
2026-08-30_14-57-42-927921,UNAUTHORIZED_FACE,face,1.00,snapshots\UNAUTHORIZED_FACE_2026-08-30_14-57-42-927921.jpg
2026-08-30_14-57-57-953756,UNAUTHORIZED_FACE,face,1.00,snapshots\UNAUTHORIZED_FACE_2026-08-30_14-57-57-953756.jpg
2026-08-30_14-58-09-944111,NIGHT_MOVEMENT,unknown,0.61,snapshots\NIGHT_MOVEMENT_2026-08-30_14-58-09-944111.jpg
2026-08-30_14-58-13-235370,UNAUTHORIZED_FACE,face,1.00,snapshots\UNAUTHORIZED_FACE_2026-08-30_14-58-13-235370.jpg
